datetime,training_steps,game_length,game_result,black_elo_rating,white_elo_rating
2025-02-08 09:32:37,70000,26,W+1.0,603.7809086963517,635.0446019028298
2025-02-08 09:40:24,71000,33,B+1.0,619.7809086963517,588.5172154898737
2025-02-08 09:48:30,72000,81,DRAW,619.7809086963517,619.7809086963517
2025-02-08 09:55:53,73000,55,B+1.0,635.7809086963517,604.5172154898737
2025-02-08 10:03:35,74000,27,B+1.0,651.7809086963517,620.5172154898737
2025-02-08 10:11:19,75000,33,B+1.0,667.7809086963517,636.5172154898737
2025-02-08 10:19:28,76000,81,DRAW,667.7809086963517,667.7809086963517
2025-02-08 10:26:40,77000,29,B+1.0,683.7809086963517,652.5172154898737
2025-02-08 10:35:29,78000,81,DRAW,683.7809086963517,683.7809086963517
2025-02-08 10:42:07,79000,15,B+1.0,699.7809086963517,668.5172154898737
2025-02-08 10:50:34,80000,54,W+1.0,684.5172154898737,715.7809086963517
2025-02-08 10:58:10,81000,81,DRAW,684.5172154898737,684.5172154898737
2025-02-08 11:06:16,82000,81,DRAW,684.5172154898737,684.5172154898737
2025-02-08 11:14:03,83000,81,DRAW,684.5172154898737,684.5172154898737
2025-02-08 11:22:13,84000,81,DRAW,684.5172154898737,684.5172154898737
2025-02-08 11:29:48,85000,81,DRAW,684.5172154898737,684.5172154898737
2025-02-08 11:36:54,86000,11,B+1.0,700.5172154898737,669.2535222833957
2025-02-08 11:45:29,87000,81,DRAW,700.5172154898737,700.5172154898737
2025-02-08 11:53:04,88000,81,DRAW,700.5172154898737,700.5172154898737
2025-02-08 12:00:47,89000,25,B+1.0,716.5172154898737,685.2535222833957
2025-02-08 12:08:26,90000,18,W+1.0,701.2535222833957,732.5172154898737
2025-02-08 12:16:49,91000,81,DRAW,701.2535222833957,701.2535222833957
2025-02-08 12:24:04,92000,25,B+1.0,717.2535222833957,685.9898290769177
2025-02-08 12:32:11,93000,81,DRAW,717.2535222833957,717.2535222833957
2025-02-08 12:40:26,94000,81,DRAW,717.2535222833957,717.2535222833957
2025-02-08 12:48:22,95000,81,DRAW,717.2535222833957,717.2535222833957
2025-02-08 12:55:12,96000,37,B+1.0,733.2535222833957,701.9898290769177
2025-02-08 13:03:18,97000,81,DRAW,733.2535222833957,733.2535222833957
2025-02-08 13:10:59,98000,81,DRAW,733.2535222833957,733.2535222833957
2025-02-08 13:18:44,99000,35,B+1.0,749.2535222833957,717.9898290769177
2025-02-08 13:26:49,100000,81,DRAW,749.2535222833957,749.2535222833957
2025-02-08 13:34:55,101000,81,DRAW,749.2535222833957,749.2535222833957
2025-02-08 13:42:31,102000,81,DRAW,749.2535222833957,749.2535222833957
2025-02-08 13:50:47,103000,81,DRAW,749.2535222833957,749.2535222833957
2025-02-08 13:58:27,104000,81,DRAW,749.2535222833957,749.2535222833957
2025-02-08 14:06:33,105000,81,DRAW,749.2535222833957,749.2535222833957
2025-02-08 14:14:16,106000,81,DRAW,749.2535222833957,749.2535222833957
2025-02-08 14:22:07,107000,81,DRAW,749.2535222833957,749.2535222833957
2025-02-08 14:29:46,108000,81,DRAW,749.2535222833957,749.2535222833957
2025-02-08 14:38:16,109000,81,DRAW,749.2535222833957,749.2535222833957
2025-02-08 14:45:30,110000,26,W+1.0,733.9898290769177,765.2535222833957
2025-02-08 14:53:42,111000,81,DRAW,733.9898290769177,733.9898290769177
2025-02-08 15:01:30,112000,37,B+1.0,749.9898290769177,718.7261358704396
2025-02-08 15:09:43,113000,81,DRAW,749.9898290769177,749.9898290769177
2025-02-08 15:16:55,114000,26,W+1.0,734.7261358704396,765.9898290769177
2025-02-08 15:25:41,115000,81,DRAW,734.7261358704396,734.7261358704396
2025-02-08 15:33:33,116000,81,DRAW,734.7261358704396,734.7261358704396
2025-02-08 15:41:14,117000,81,DRAW,734.7261358704396,734.7261358704396
2025-02-08 15:48:57,118000,81,DRAW,734.7261358704396,734.7261358704396
2025-02-08 15:56:39,119000,26,W+1.0,719.4624426639616,750.7261358704396
2025-02-08 16:05:17,120000,81,DRAW,719.4624426639616,719.4624426639616
2025-02-08 16:12:59,121000,81,DRAW,719.4624426639616,719.4624426639616
2025-02-08 16:20:44,122000,81,DRAW,719.4624426639616,719.4624426639616
2025-02-08 16:28:54,123000,81,DRAW,719.4624426639616,719.4624426639616
2025-02-08 16:36:36,124000,81,DRAW,719.4624426639616,719.4624426639616
2025-02-08 16:44:18,125000,81,DRAW,719.4624426639616,719.4624426639616
2025-02-08 16:52:05,126000,81,DRAW,719.4624426639616,719.4624426639616
2025-02-08 17:00:15,127000,81,DRAW,719.4624426639616,719.4624426639616
2025-02-08 17:07:57,128000,81,DRAW,719.4624426639616,719.4624426639616
2025-02-08 17:16:15,129000,81,DRAW,719.4624426639616,719.4624426639616
2025-02-08 17:24:03,130000,81,DRAW,719.4624426639616,719.4624426639616
2025-02-08 17:32:14,131000,81,DRAW,719.4624426639616,719.4624426639616
2025-02-08 17:40:10,132000,81,DRAW,719.4624426639616,719.4624426639616
2025-02-08 17:48:05,133000,81,DRAW,719.4624426639616,719.4624426639616
2025-02-08 17:55:48,134000,81,DRAW,719.4624426639616,719.4624426639616
2025-02-08 18:03:32,135000,81,DRAW,719.4624426639616,719.4624426639616
2025-02-08 18:11:24,136000,81,DRAW,719.4624426639616,719.4624426639616
